cut,split_attr,pruned,accuracy
1,2,0.0,0.9146341463414634
1,2,1.0,0.9207317073170732
1,3,0.0,0.9044715447154472
1,3,1.0,0.9166666666666666
2,2,0.0,0.9085365853658536
2,2,1.0,0.9308943089430894
2,3,0.0,0.9044715447154472
2,3,1.0,0.9308943089430894
3,2,0.0,0.9065040650406504
3,2,1.0,0.934959349593496
3,3,0.0,0.9044715447154472
3,3,1.0,0.9329268292682928
4,2,0.0,0.9044715447154472
4,2,1.0,0.9329268292682928
4,3,0.0,0.9044715447154472
4,3,1.0,0.9329268292682928
5,2,0.0,0.9004065040650406
5,2,1.0,0.9288617886178862
5,3,0.0,0.9004065040650406
5,3,1.0,0.9308943089430894
6,2,0.0,0.8882113821138211
6,2,1.0,0.9227642276422764
6,3,0.0,0.8963414634146342
6,3,1.0,0.91869918699187
