trees,split_attr,accuracy
1,1,83.940329218107
1,1,83.4156378600823
1,1,88.56995884773663
1,1,81.7798353909465
1,1,85.82304526748972
1,2,77.15020576131687
1,2,77.72633744855966
1,2,75.45267489711934
1,2,73.62139917695472
1,2,87.05761316872427
1,3,85.27777777777777
1,3,87.29423868312757
1,3,80.4320987654321
1,3,78.1275720164609
1,3,85.53497942386832
1,4,78.5082304526749
1,4,78.90946502057614
1,4,77.84979423868312
1,4,70.05144032921811
1,4,79.9074074074074
1,5,82.81893004115226
1,5,74.68106995884773
1,5,70.48353909465021
1,5,77.53086419753087
1,5,71.37860082304528
1,6,73.47736625514403
1,6,75.19547325102882
1,6,83.30246913580247
1,6,76.33744855967079
1,6,87.58230452674897
1,7,82.3559670781893
1,7,86.85185185185185
1,7,66.47119341563787
1,7,78.2201646090535
1,7,85.83333333333333
1,8,84.24897119341563
1,8,74.77366255144034
1,8,76.12139917695472
1,8,69.48559670781893
1,8,71.61522633744856
1,9,77.48971193415638
1,9,76.94444444444444
1,9,86.53292181069959
1,9,67.89094650205762
1,9,75.8641975308642
1,10,72.29423868312757
1,10,80.17489711934157
1,10,74.93827160493827
1,10,72.24279835390946
1,10,78.64197530864197
1,11,81.30658436213992
1,11,67.9835390946502
1,11,75.56584362139918
1,11,84.2798353909465
1,11,81.21399176954732
1,12,83.88888888888889
1,12,81.08024691358024
1,12,75.76131687242798
1,12,80.54526748971193
1,12,82.28395061728395
1,13,82.38683127572017
1,13,84.52674897119341
1,13,81.17283950617285
1,13,67.80864197530863
1,13,83.80658436213992
1,14,73.49794238683127
1,14,70.77160493827161
1,14,66.91358024691358
1,14,84.7119341563786
1,14,83.23045267489711
1,15,71.2448559670782
1,15,82.39711934156378
1,15,85.21604938271605
1,15,84.91769547325103
1,15,70.68930041152264
3,1,87.00617283950616
3,1,86.02880658436214
3,1,86.81069958847736
3,1,88.49794238683127
3,1,88.5082304526749
3,2,87.23251028806584
3,2,88.89917695473251
3,2,86.61522633744856
3,2,89.30041152263375
3,2,85.73045267489712
3,3,86.64609053497942
3,3,86.440329218107
3,3,86.97530864197532
3,3,86.45061728395062
3,3,88.11728395061729
3,4,87.74691358024691
3,4,85.67901234567901
3,4,86.30658436213992
3,4,89.00205761316873
3,4,85.8127572016461
3,5,83.15843621399178
3,5,83.54938271604938
3,5,89.30041152263375
3,5,82.18106995884774
3,5,86.89300411522633
3,6,85.8127572016461
3,6,86.69753086419753
3,6,85.49382716049382
3,6,88.59053497942386
3,6,83.7448559670782
3,7,83.78600823045268
3,7,88.06584362139918
3,7,84.53703703703704
3,7,85.55555555555556
3,7,87.30452674897118
3,8,86.98559670781893
3,8,85.84362139917695
3,8,84.21810699588478
3,8,78.71399176954732
3,8,81.02880658436214
3,9,82.93209876543209
3,9,85.1954732510288
3,9,81.43004115226337
3,9,85.51440329218107
3,9,80.56584362139918
3,10,89.26954732510288
3,10,86.96502057613169
3,10,85.37037037037038
3,10,86.55349794238684
3,10,85.53497942386832
3,11,80.27777777777779
3,11,81.22427983539094
3,11,85.96707818930042
3,11,87.23251028806584
3,11,81.31687242798354
3,12,83.03497942386832
3,12,81.4917695473251
3,12,74.74279835390946
3,12,84.54732510288065
3,12,88.1275720164609
3,13,85.73045267489712
3,13,82.61316872427984
3,13,82.92181069958848
3,13,84.89711934156378
3,13,87.75720164609054
3,14,83.25102880658436
3,14,87.87037037037037
3,14,86.38888888888889
3,14,81.2037037037037
3,14,80.85390946502058
3,15,84.79423868312757
3,15,81.11111111111111
3,15,84.95884773662551
3,15,89.46502057613168
3,15,86.66666666666667
5,1,90.6275720164609
5,1,89.17695473251028
5,1,90.98765432098766
5,1,90.24691358024691
5,1,91.06995884773661
5,2,87.86008230452676
5,2,91.53292181069959
5,2,90.22633744855966
5,2,90.93621399176955
5,2,89.24897119341564
5,3,91.14197530864197
5,3,90.60699588477367
5,3,90.53497942386831
5,3,90.13374485596708
5,3,89.63991769547324
5,4,91.80041152263374
5,4,90.88477366255144
5,4,89.9074074074074
5,4,91.5843621399177
5,4,89.50617283950618
5,5,89.21810699588477
5,5,89.7633744855967
5,5,89.6604938271605
5,5,88.02469135802468
5,5,90.21604938271605
5,6,88.68312757201646
5,6,88.49794238683127
5,6,89.73251028806585
5,6,89.59876543209877
5,6,88.24074074074075
5,7,88.53909465020577
5,7,87.77777777777777
5,7,90.74074074074075
5,7,88.940329218107
5,7,88.76543209876543
5,8,90.3395061728395
5,8,88.05555555555556
5,8,89.36213991769547
5,8,90.8641975308642
5,8,85.64814814814815
5,9,89.96913580246914
5,9,88.71399176954733
5,9,87.75720164609054
5,9,88.78600823045268
5,9,85.94650205761317
5,10,85.39094650205762
5,10,90.11316872427983
5,10,89.94855967078189
5,10,87.61316872427983
5,10,89.0843621399177
5,11,88.47736625514403
5,11,87.43827160493827
5,11,89.0432098765432
5,11,88.72427983539094
5,11,88.82716049382717
5,12,86.57407407407408
5,12,82.43827160493828
5,12,84.8045267489712
5,12,86.61522633744856
5,12,87.07818930041152
5,13,86.97530864197532
5,13,83.73456790123457
5,13,87.02674897119341
5,13,87.94238683127573
5,13,89.23868312757202
5,14,87.95267489711934
5,14,88.93004115226337
5,14,88.56995884773663
5,14,84.39300411522633
5,14,86.7798353909465
5,15,85.5246913580247
5,15,85.96707818930042
5,15,83.09670781893004
5,15,88.41563786008231
5,15,88.20987654320987
7,1,92.92181069958848
7,1,91.70781893004116
7,1,92.17078189300412
7,1,92.52057613168724
7,1,91.41975308641975
7,2,92.75720164609054
7,2,91.99588477366255
7,2,91.48148148148148
7,2,91.85185185185185
7,2,92.4074074074074
7,3,92.36625514403293
7,3,91.20370370370371
7,3,92.44855967078189
7,3,92.33539094650206
7,3,91.85185185185185
7,4,92.19135802469137
7,4,91.67695473251028
7,4,91.91358024691358
7,4,91.70781893004116
7,4,90.40123456790124
7,5,91.10082304526749
7,5,91.38888888888889
7,5,91.09053497942386
7,5,91.18312757201646
7,5,90.23662551440329
7,6,90.3395061728395
7,6,91.56378600823045
7,6,91.11111111111111
7,6,90.27777777777779
7,6,90.95679012345678
7,7,90.79218106995884
7,7,91.440329218107
7,7,90.88477366255144
7,7,91.35802469135803
7,7,89.78395061728395
7,8,90.40123456790124
7,8,90.73045267489712
7,8,90.8641975308642
7,8,90.36008230452674
7,8,88.56995884773663
7,9,89.46502057613168
7,9,90.29835390946502
7,9,90.23662551440329
7,9,90.8230452674897
7,9,91.26543209876543
7,10,89.35185185185185
7,10,89.50617283950618
7,10,88.66255144032922
7,10,89.16666666666667
7,10,89.8971193415638
7,11,90.39094650205762
7,11,90.51440329218107
7,11,88.82716049382717
7,11,89.11522633744856
7,11,89.07407407407408
7,12,90.07201646090535
7,12,89.6604938271605
7,12,88.45679012345678
7,12,90.94650205761316
7,12,89.78395061728395
7,13,90.24691358024691
7,13,89.52674897119341
7,13,87.98353909465021
7,13,89.94855967078189
7,13,90.75102880658437
7,14,88.09670781893004
7,14,88.9917695473251
7,14,89.10493827160494
7,14,88.08641975308642
7,14,87.75720164609054
7,15,88.95061728395062
7,15,88.66255144032922
7,15,88.79629629629629
7,15,90.04115226337449
7,15,89.95884773662551
9,1,92.90123456790124
9,1,93.01440329218107
9,1,92.61316872427983
9,1,93.48765432098766
9,1,93.28189300411522
9,2,92.6440329218107
9,2,93.14814814814815
9,2,92.74691358024691
9,2,93.23045267489712
9,2,92.79835390946502
9,3,92.34567901234568
9,3,92.55144032921811
9,3,92.58230452674897
9,3,92.52057613168724
9,3,92.86008230452674
9,4,92.41769547325103
9,4,92.32510288065843
9,4,92.25308641975309
9,4,92.70576131687243
9,4,91.75925925925927
9,5,91.55349794238683
9,5,92.08847736625513
9,5,91.8724279835391
9,5,90.88477366255144
9,5,91.65637860082305
9,6,91.8724279835391
9,6,92.07818930041152
9,6,92.27366255144032
9,6,90.25720164609054
9,6,90.7716049382716
9,7,91.41975308641975
9,7,91.74897119341564
9,7,91.98559670781893
9,7,92.08847736625513
9,7,91.67695473251028
9,8,91.75925925925927
9,8,91.22427983539094
9,8,91.440329218107
9,8,91.20370370370371
9,8,91.73868312757202
9,9,90.17489711934157
9,9,90.68930041152264
9,9,90.66872427983539
9,9,91.5432098765432
9,9,91.75925925925927
9,10,91.06995884773661
9,10,89.92798353909464
9,10,90.51440329218107
9,10,91.14197530864197
9,10,90.69958847736626
9,11,91.14197530864197
9,11,91.26543209876543
9,11,89.87654320987654
9,11,91.82098765432099
9,11,90.38065843621399
9,12,90.61728395061729
9,12,91.10082304526749
9,12,91.41975308641975
9,12,89.62962962962962
9,12,90.3395061728395
9,13,90.99794238683128
9,13,90.65843621399176
9,13,90.12345679012346
9,13,91.16255144032922
9,13,89.74279835390946
9,14,90.42181069958848
9,14,91.0493827160494
9,14,90.98765432098766
9,14,90.90534979423869
9,14,89.24897119341564
9,15,91.09053497942386
9,15,90.68930041152264
9,15,90.1954732510288
9,15,89.49588477366255
9,15,90.83333333333333
11,1,92.44855967078189
11,1,92.95267489711934
11,1,93.63168724279835
11,1,93.30246913580247
11,1,93.30246913580247
11,2,92.82921810699588
11,2,93.20987654320987
11,2,93.59053497942386
11,2,92.89094650205762
11,2,93.27160493827161
11,3,93.20987654320987
11,3,92.61316872427983
11,3,93.91975308641976
11,3,92.81893004115226
