cut,split_attr,pruned,accuracy
1,2,0.0,0.8983739837398373
1,2,0.0,0.8800813008130082
1,2,0.0,0.8983739837398373
1,2,0.0,0.9044715447154471
1,2,0.0,0.9044715447154471
1,3,0.0,0.8983739837398373
1,3,0.0,0.8943089430894309
1,3,0.0,0.9044715447154471
1,3,0.0,0.9024390243902439
1,3,0.0,0.9044715447154471
2,2,0.0,0.9004065040650406
2,2,0.0,0.8882113821138211
2,2,0.0,0.9105691056910569
2,2,0.0,0.9024390243902439
2,2,0.0,0.9044715447154471
2,3,0.0,0.8943089430894309
2,3,0.0,0.9004065040650406
2,3,0.0,0.9044715447154471
2,3,0.0,0.9044715447154471
2,3,0.0,0.9044715447154471
3,2,0.0,0.9004065040650406
3,2,0.0,0.9004065040650406
3,2,0.0,0.9126016260162602
3,2,0.0,0.9044715447154471
3,2,0.0,0.8943089430894309
3,3,0.0,0.8983739837398373
3,3,0.0,0.9024390243902439
3,3,0.0,0.8983739837398373
3,3,0.0,0.8983739837398373
3,3,0.0,0.8983739837398373
4,2,0.0,0.8922764227642277
4,2,0.0,0.8882113821138211
4,2,0.0,0.8922764227642277
4,2,0.0,0.8882113821138211
4,2,0.0,0.9044715447154471
4,3,0.0,0.9024390243902439
4,3,0.0,0.8983739837398373
4,3,0.0,0.9044715447154471
4,3,0.0,0.8983739837398373
4,3,0.0,0.8963414634146342
5,2,0.0,0.8882113821138211
5,2,0.0,0.8821138211382114
5,2,0.0,0.8963414634146342
5,2,0.0,0.8841463414634146
5,2,0.0,0.8861788617886179
5,3,0.0,0.9024390243902439
5,3,0.0,0.8943089430894309
5,3,0.0,0.8983739837398373
5,3,0.0,0.8943089430894309
5,3,0.0,0.9044715447154471
6,2,0.0,0.8739837398373984
6,2,0.0,0.8760162601626016
6,2,0.0,0.8699186991869918
6,2,0.0,0.9126016260162602
6,2,0.0,0.8943089430894309
6,3,0.0,0.8821138211382114
6,3,0.0,0.8800813008130082
6,3,0.0,0.8800813008130082
6,3,0.0,0.8821138211382114
6,3,0.0,0.8922764227642277
1,2,1.0,0.9085365853658537
1,2,1.0,0.9085365853658537
1,2,1.0,0.8902439024390244
1,2,1.0,0.9146341463414634
1,2,1.0,0.9247967479674797
1,3,1.0,0.9105691056910569
1,3,1.0,0.9166666666666666
1,3,1.0,0.9166666666666666
1,3,1.0,0.9065040650406504
1,3,1.0,0.9105691056910569
2,2,1.0,0.9308943089430894
2,2,1.0,0.9105691056910569
2,2,1.0,0.8983739837398373
2,2,1.0,0.9146341463414634
2,2,1.0,0.9308943089430894
2,3,1.0,0.9308943089430894
2,3,1.0,0.926829268292683
2,3,1.0,0.9207317073170732
2,3,1.0,0.9207317073170732
2,3,1.0,0.9247967479674797
3,2,1.0,0.9105691056910569
3,2,1.0,0.9247967479674797
3,2,1.0,0.9065040650406504
3,2,1.0,0.926829268292683
3,2,1.0,0.9166666666666666
3,3,1.0,0.9227642276422764
3,3,1.0,0.9329268292682927
3,3,1.0,0.9247967479674797
3,3,1.0,0.926829268292683
3,3,1.0,0.9227642276422764
4,2,1.0,0.9227642276422764
4,2,1.0,0.9126016260162602
4,2,1.0,0.9247967479674797
4,2,1.0,0.926829268292683
4,2,1.0,0.9166666666666666
4,3,1.0,0.9329268292682927
4,3,1.0,0.9329268292682927
4,3,1.0,0.9329268292682927
4,3,1.0,0.9227642276422764
4,3,1.0,0.926829268292683
5,2,1.0,0.8963414634146342
5,2,1.0,0.9349593495934959
5,2,1.0,0.926829268292683
5,2,1.0,0.9166666666666666
5,2,1.0,0.9126016260162602
5,3,1.0,0.9227642276422764
5,3,1.0,0.9227642276422764
5,3,1.0,0.9227642276422764
5,3,1.0,0.9308943089430894
5,3,1.0,0.9308943089430894
6,2,1.0,0.9065040650406504
6,2,1.0,0.8821138211382114
6,2,1.0,0.9207317073170732
6,2,1.0,0.9065040650406504
6,2,1.0,0.8943089430894309
6,3,1.0,0.9186991869918699
6,3,1.0,0.9207317073170732
6,3,1.0,0.9166666666666666
6,3,1.0,0.9105691056910569
6,3,1.0,0.9207317073170732
