trees,split_attr,accuracy
1,1,84.95934959349594
1,2,83.53658536585365
1,3,83.33333333333334
1,4,84.14634146341461
1,5,82.3170731707317
1,6,79.0650406504065
1,7,79.0650406504065
1,8,80.6910569105691
1,9,84.75609756097559
1,10,81.09756097560977
1,11,82.3170731707317
1,12,82.11382113821138
1,13,81.5040650406504
2,1,81.91056910569105
2,2,82.92682926829268
2,3,82.3170731707317
2,4,81.91056910569105
2,5,82.3170731707317
2,6,78.65853658536584
2,7,80.6910569105691
2,8,80.6910569105691
2,9,78.2520325203252
2,10,79.87804878048779
2,11,79.87804878048779
2,12,78.45528455284554
2,13,75.8130081300813
3,1,87.8048780487805
3,2,85.77235772357723
3,3,88.21138211382113
3,4,86.78861788617887
3,5,86.1788617886179
3,6,83.33333333333334
3,7,86.78861788617887
3,8,83.73983739837398
3,9,84.14634146341461
3,10,83.9430894308943
3,11,84.5528455284553
3,12,81.91056910569105
3,13,83.33333333333334
4,1,87.60162601626014
4,2,87.39837398373986
4,3,87.8048780487805
4,4,86.3821138211382
4,5,86.1788617886179
4,6,83.33333333333334
4,7,87.60162601626014
4,8,84.95934959349594
4,9,86.58536585365853
4,10,85.77235772357723
4,11,82.92682926829268
4,12,81.91056910569105
4,13,82.52032520325203
5,1,89.6341463414634
5,2,90.24390243902441
5,3,89.22764227642277
5,4,88.6178861788618
5,5,86.1788617886179
5,6,86.1788617886179
5,7,88.21138211382113
5,8,88.0081300813008
5,9,85.77235772357723
5,10,86.3821138211382
5,11,86.1788617886179
5,12,85.77235772357723
5,13,84.5528455284553
6,1,89.83739837398373
6,2,89.6341463414634
6,3,88.41463414634147
6,4,88.21138211382113
6,5,88.21138211382113
6,6,87.8048780487805
6,7,86.58536585365853
6,8,86.1788617886179
6,9,86.9918699186992
6,10,87.1951219512195
6,11,83.73983739837398
6,12,85.97560975609754
6,13,84.75609756097559
7,1,91.05691056910568
7,2,90.24390243902441
7,3,90.24390243902441
7,4,89.22764227642277
7,5,88.0081300813008
7,6,88.0081300813008
7,7,88.21138211382113
7,8,87.1951219512195
7,9,86.78861788617887
7,10,88.6178861788618
7,11,87.1951219512195
7,12,86.58536585365853
7,13,85.56910569105692
8,1,90.04065040650406
8,2,90.4471544715447
8,3,90.04065040650406
8,4,88.6178861788618
8,5,88.8211382113821
8,6,88.21138211382113
8,7,87.39837398373986
8,8,86.9918699186992
8,9,87.1951219512195
8,10,88.0081300813008
8,11,86.9918699186992
8,12,85.97560975609754
8,13,86.1788617886179
9,1,90.65040650406506
9,2,90.65040650406506
9,3,90.65040650406506
9,4,88.41463414634147
9,5,88.41463414634147
9,6,90.24390243902441
9,7,87.60162601626014
9,8,87.60162601626014
9,9,89.43089430894308
9,10,87.39837398373986
9,11,87.39837398373986
9,12,86.78861788617887
9,13,86.1788617886179
10,1,91.26016260162602
10,2,89.43089430894308
10,3,90.24390243902441
10,4,88.8211382113821
10,5,89.83739837398373
10,6,88.6178861788618
10,7,87.39837398373986
10,8,88.8211382113821
10,9,89.22764227642277
10,10,87.1951219512195
10,11,86.9918699186992
10,12,86.78861788617887
10,13,86.1788617886179
11,1,91.66666666666666
11,2,90.4471544715447
11,3,90.4471544715447
11,4,89.22764227642277
11,5,89.6341463414634
11,6,90.04065040650406
11,7,88.21138211382113
11,8,88.21138211382113
11,9,89.43089430894308
11,10,87.39837398373986
11,11,86.9918699186992
11,12,86.3821138211382
11,13,87.1951219512195
12,1,91.869918699187
12,2,89.83739837398373
12,3,90.24390243902441
12,4,90.4471544715447
12,5,89.22764227642277
12,6,89.22764227642277
12,7,88.6178861788618
12,8,87.8048780487805
12,9,88.0081300813008
12,10,86.3821138211382
12,11,87.1951219512195
12,12,86.78861788617887
12,13,85.97560975609754
13,1,92.07317073170731
13,2,91.05691056910568
13,3,90.24390243902441
13,4,90.04065040650406
13,5,87.60162601626014
13,6,88.6178861788618
13,7,89.43089430894308
13,8,88.41463414634147
13,9,88.6178861788618
13,10,87.8048780487805
13,11,87.39837398373986
13,12,87.60162601626014
13,13,87.1951219512195
14,1,91.05691056910568
14,2,90.24390243902441
14,3,91.05691056910568
14,4,91.46341463414636
14,5,89.02439024390246
14,6,89.02439024390246
14,7,88.21138211382113
14,8,87.8048780487805
14,9,89.02439024390246
14,10,88.41463414634147
14,11,86.9918699186992
14,12,86.9918699186992
14,13,86.58536585365853
15,1,92.07317073170731
15,2,91.869918699187
15,3,91.05691056910568
15,4,91.26016260162602
15,5,89.83739837398373
15,6,90.85365853658536
15,7,88.21138211382113
15,8,87.39837398373986
15,9,88.21138211382113
15,10,88.21138211382113
15,11,88.41463414634147
15,12,87.60162601626014
15,13,86.3821138211382
16,1,92.27642276422763
16,2,91.66666666666666
